face,i,j,center_x_mm,center_y_mm,center_z_mm,orientation
bottom(z=0),6,32,650.0,3250.0,100.0,+z
bottom(z=0),6,33,650.0,3350.0,100.0,+z
bottom(z=0),6,34,650.0,3450.0,100.0,+z
bottom(z=0),6,35,650.0,3550.0,100.0,+z
bottom(z=0),6,36,650.0,3650.0,100.0,+z
bottom(z=0),6,37,650.0,3750.0,100.0,+z
bottom(z=0),6,38,650.0,3850.0,100.0,+z
bottom(z=0),6,39,650.0,3950.0,100.0,+z
bottom(z=0),6,40,650.0,4050.0,100.0,+z
bottom(z=0),6,41,650.0,4150.0,100.0,+z
bottom(z=0),6,42,650.0,4250.0,100.0,+z
bottom(z=0),6,43,650.0,4350.0,100.0,+z
bottom(z=0),6,44,650.0,4450.0,100.0,+z
bottom(z=0),6,45,650.0,4550.0,100.0,+z
